date,"M2 growth, YoY % (18m earlier)","CPI inflation, YoY %"
1969-10-01,8.85998780735624,5.665722379603411
1969-11-01,8.386967015285606,5.932203389830515
1969-12-01,8.08764940239044,5.89887640449438
1970-01-01,7.762196326288762,6.162464985994376
1970-02-01,7.55677368833203,6.424581005586605
1970-03-01,7.538371867107041,6.094182825484751
1970-04-01,7.603241991509058,6.060606060606077
1970-05-01,7.90483499616268,6.043956043956045
1970-06-01,8.022103658536594,6.010928961748618
1970-07-01,7.9446340538490645,5.7065217391304435
1970-08-01,7.824283559577672,5.691056910569103
1970-09-01,7.726931732933218,5.660377358490565
1970-10-01,7.466865783087551,5.630026809651478
1970-11-01,6.977175728335494,5.600000000000005
1970-12-01,6.616291927755258,5.570291777188308
1971-01-01,6.213343108504388,5.277044854881274
1971-02-01,5.587914088096113,4.724409448818889
1971-03-01,5.167118337850041,4.438642297650142
1971-04-01,4.626972740315627,4.155844155844157
1971-05-01,4.089615931721191,4.404145077720201
1971-06-01,3.7043570294584605,4.381443298969079
1971-07-01,3.5657825399613596,4.370179948586128
1971-08-01,2.517922713761145,4.358974358974366
1971-09-01,2.2458217270195036,4.081632653061207
1971-10-01,2.2060100746916778,3.8071065989847774
1971-11-01,2.601908065915004,3.535353535353525
1971-12-01,2.886776145203118,3.266331658291466
1972-01-01,3.3822260569456475,3.2581453634085378
1972-02-01,4.275124978451994,3.759398496240607
1972-03-01,4.99914104105823,3.499999999999992
1972-04-01,5.656496400411393,3.4912718204488824
1972-05-01,6.098394260334827,3.2258064516129226
1972-06-01,6.582752168736183,2.9629629629629672
1972-07-01,7.360922659430114,2.9556650246305383
1972-08-01,9.329694695548362,2.9484029484029284
1972-09-01,10.65894772688576,3.1862745098039325
1972-10-01,11.896668932698852,3.1784841075794823
1972-11-01,12.713440405748111,3.4146341463414664
1972-12-01,13.071236559139777,3.406326034063256
1973-01-01,13.436821899515937,3.6407766990291357
1973-02-01,13.324516448999834,3.864734299516903
1973-03-01,13.301701570680624,4.8309178743961345
1973-04-01,13.303049967553537,5.301204819277117
1973-05-01,13.443889872806313,5.528846153846145
1973-06-01,13.357804021704434,5.995203836930463
1973-07-01,13.380726698262247,5.741626794258381
1973-08-01,13.21372854914198,7.398568019093088
1973-09-01,12.863517464225271,7.3634204275534465
1973-10-01,12.150668286755772,8.056872037914697
1973-11-01,11.48942552872354,8.25471698113207
1973-12-01,11.396731054977716,8.94117647058823
1974-01-01,11.75691583284284,9.601873536299754
1974-02-01,12.137126185266233,9.999999999999986
1974-03-01,12.389891696750887,10.138248847926267
1974-04-01,12.671821305841924,10.068649885583515
1974-05-01,12.673857507805831,10.70615034168565
1974-06-01,12.952273687174443,10.859728506787313
1974-07-01,12.902326877525416,11.538461538461519
1974-08-01,12.18134215240456,10.888888888888882
1974-09-01,11.15201090661213,11.946902654867241
1974-10-01,11.010292524377041,11.842105263157897
1974-11-01,11.233687609309829,12.200435729847502
1974-12-01,11.137788448712826,12.095032397408211
1975-01-01,10.138248847926267,11.752136752136755
1975-02-01,9.119292311695059,11.205073995771686
1975-03-01,7.837594757805477,10.460251046025103
1975-04-01,7.078408946498915,10.187110187110182
1975-05-01,6.927824663055793,9.259259259259256
1975-06-01,6.630936058830872,9.183673469387754
1975-07-01,6.096507466370493,9.533468559837743
1975-08-01,6.154035130819313,8.617234468937895
1975-09-01,6.721452226174418,7.905138339920947
1975-10-01,6.490179333902635,7.647058823529407
1975-11-01,5.781325592646347,7.37864077669903
1975-12-01,5.352856457033117,7.129094412331405
1976-01-01,5.36760310818889,6.692160611854692
1976-02-01,5.400572246065827,6.273764258555126
1976-03-01,5.79053973549386,6.060606060606055
1976-04-01,6.0170899596486915,5.849056603773595
1976-05-01,5.854635410531284,6.214689265536721
1976-06-01,5.447106954997083,5.981308411214958
1976-07-01,5.4204955216936135,5.555555555555558
1976-08-01,5.774126359638965,5.719557195571956
1976-09-01,6.309619583955861,5.494505494505497
1976-10-01,7.125673043876746,5.464480874316946
1976-11-01,8.380974159615828,5.063291139240511
1976-12-01,9.70608339029393,5.035971223021574
1977-01-01,10.630814613115502,5.197132616487465
1977-02-01,11.197828299966073,6.082289803220031
1977-03-01,11.66798062844916,6.428571428571428
1977-04-01,11.6981976939438,6.951871657754016
1977-05-01,12.063209436901845,6.737588652482285
1977-06-01,12.659350404611459,6.701940035273357
1977-07-01,13.28478428776345,6.666666666666665
1977-08-01,13.805929329395017,6.631762652705064
1977-09-01,13.502702702702706,6.423611111111094
1977-10-01,13.44241257619505,6.390328151986191
1977-11-01,13.10264795864542,6.712564543889843
1977-12-01,11.900311526479745,6.67808219178081
1978-01-01,11.403958568351946,6.814310051107331
1978-02-01,11.758722408707145,6.2394603709949426
1978-03-01,12.032274331820458,6.375838926174482
1978-04-01,12.7480457005412,6.499999999999995
1978-05-01,13.038728897715979,7.14285714285714
1978-06-01,13.362196201908883,7.438016528925617
1978-07-01,13.489821759033793,7.7302631578947345
1978-08-01,13.188503316351063,7.855973813420625
1978-09-01,13.191732545956757,8.482871125611746
1978-10-01,13.084464555052788,8.92857142857142
1978-11-01,12.769331219102709,8.870967741935477
1978-12-01,13.01039346696362,8.988764044943842
1979-01-01,12.933812022461577,9.250398724082931
1979-02-01,12.596705197051051,9.84126984126985
1979-03-01,12.19841555635579,10.252365930599371
1979-04-01,11.466666666666669,10.485133020344284
1979-05-01,10.902222612668023,10.697674418604652
1979-06-01,10.268205884905846,11.076923076923073
1979-07-01,9.82663920357021,11.45038167938932
1979-08-01,9.163481953290887,11.836115326251884
1979-09-01,8.726018175698403,11.879699248120312
1979-10-01,8.394464821607217,12.071535022354718
1979-11-01,8.395368072787424,12.592592592592599
1979-12-01,8.2690096896042,13.254786450662737
1980-01-01,7.939354417998046,13.868613138686126
1980-02-01,7.792417751192304,14.161849710982644
1980-03-01,7.927465297279945,14.592274678111572
1980-04-01,7.846889952153124,14.589235127478762
1980-05-01,7.667934093789608,14.425770308123242
1980-06-01,7.5330604534004975,14.265927977839322
